Sigla;Nome;Estrato;Indice.H;ISSN
AOIS;Agent'Oriented Information Systems Workshop;B3;8;
AOM;Aspect'Oriented Modeling Workshop;B2;19;
AOSD;International Conference on Aspect'Oriented Software Development;A1;55;
AOSE;Workshop on Agent'Oriented Software Engineering;B3;7;
APCIP;Asia'Pacific Conference on Information Processing;B4;6;
APEID;UNESCO'APEID International Conference;B5;3;
APGV;Symposium on Applied Perception in Graphics and Visualization;B2;19;
APLAS;Asian Symposium on Programming Languages and Systems;B1;28;
APPROX;International Workshop on Approximation Algorithms for Combinatorial Optimization Problems;B1;31;
APSCC;IEEE Asia'Pacific Services Computing Conference;B3;15;
APTC;Asia'Pacific Trusted Infrastructure Technologies Conference;B5;1;
APWEB;International Asia'Pacific Web Conference;B2;20;
ARC;International Workshop on Applied Reconfigurable Computing;B3;14;
ARCS;Architecture of Computing Systems;B2;17;
ARES;International Conference on Availability: Reliability and Security;B1;27;
ArgMas;International Workshop on Argumentation in Multi'Agent Systems;B4;5;
ARM;Workshop on Adaptive and Reflective Middleware;B4;7;
ArtAbilitation;The ArtAbilitation Conference;B5;2;
ARVLSI;Conference on Advanced Research in VLSI;B4;9;
ASAMA;International Symposium on Agent Systems and Applications / International Symposium on Mobile Agents;B1;24;
ASAP;IEEE International Conference on Application'specific Systems: Architectures and Processors;B1;29;
ASE;IEEE/ACM International Conference on Automated Software Engineering;A1;55;
ASIACCS;ASIAN ACM Symposium on Information, Computer and Communications Security;B1;32;
ASIACRYPT;International Conference on the Theory and Application of Cryptology and Information Security;A1;69;
ASID;International Workshop on Anti'counterfeiting, Security and Identification;B4;6;
ASIS&T;Annual Conference of the American Society for Information Science and Technology;B4;5;
ASONAM;International Conference on Advances in Social Network Analysis and Mining;B4;10;
ASP'DAC;Asia and South Pacific Design Automation Conference;A2;48;
ASPLOS;International Conference on Architectural Support for Programming Languages and Operating Systems;A1;72;
ASRU;IEEE Workshop on Automatic Speech Recognition & Understanding;B2;20;
ASSETS;International ACM SIGACCESS Conference on Computers and Accessibility;A2;38;
AST;Automation of Software Test;B3;14;
ASYNC;Symposium on Asynchronous Circuits and Systems;A2;37;
ATMOS;Workshop on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems;B4;8;
ATT;Workshop on Agents in Traffic and Transportation;B4;4;
ATVA;Automated Technology for Verification and Analysis;B1;22;
AUTOMATA;Cellular Automata Theory and Applicatins;B4;6;
AVBPA;International Conference on Audio' and Video'Based Biometric Person;A2;45;
AVI;International Working Conference on Advanced Visual Interfaces;A2;38;
AWIC;Atlantic Web Intelligence Conference;B2;16;
BAIP;International Conference on Recent Trends in Business Administration and Information Processing;B4;4;
BASYS;IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems;B4;10;
BC;IFIP International Conference on Broadband Communications;B4;3;
BCB;ACM International Conference on Bioinformatics and Computational Biology;B4;5;
BCS'HCI;Conference of the British Computer Society Human Computer Interaction Specialist Group;B4;6;
BDIM;IEEE/IFIP International Workshop on Business'Driven IT Management;B4;9;
BEA;Workshop on the Innovative Use of NLP for Building Educational Applications;B4;9;
BIBE;IEEE International Symposium on Bioinformatics and Bioengineering;B1;27;
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;B4;9;
BIBMW;IEEE International Conference on Bioinformatics and Biomedicine Workshop;B4;6;
BICA;Annual International Conference on Biologically Inspired Cognitive Architectures;B4;4;
BICS;Brain'Inspired Cognitive Systems Conference;B4;6;
BIOCOMP;International Conference on Bioinformatics and Computational Biology;B4;8;
BIODEVICES;International Conference on Biomedical Electronics and Devices;B4;6;
BIOINFORMATICS;International Conference on Bioinformatics Models, Methods and Algorithms;B5;3;
BIOSIGNALS;International Conference on Bio'inspired Systems and Signal Processing;B4;7;
BIOTECHNO;International Conference on Bioinformatics, Biocomputational Systems and Biotechnologies;B5;3;
BIR;International Conference on Perspectives in Business Informatics Research;B4;4;
BIRTE;International Workshop on Business Intelligence for the Real Time Enterprise;B5;1;
BIS;International Conference on Business Information Systems;B2;20;
BLISS;Bio'inspired, Learning, and Intelligent Systems for Security;B4;7;
BMEI;International Conference on BioMedical Engineering and Informatics;B4;7;
BMVC;British Machine Vision Conference;A2;48;
BNCOD;Workshops of the British National Conference on Databases;B2;18;
BPM;International Conference in Business Process Management;A2;49;
BPMDS;International Conference on Business Process Modeling, Development, and Support;B3;13;
BPMN;International Workshop on Business Process Modeling Notation;B5;3;
BPSC;Business Process and Services Computing;B4;8;
Broadnets;International Conference on Broadband Communications Networks and Systems;B1;30;
BSB;Brazilian Symposium on Bioinformatics;B4;7;
BTAS;IEEE International Conference on Biometrics: Theory, Applications and Systems;B2;20;
BUCC;Workshop on Building and Using Comparable Corpora;B5;2;
BWSS;Brazilian Workshop on Social Simulation;B5;3;
C&T;International Conference on Communities and Technologies;B5;3;
C5;International Conference on Creating Connecting and Collaborating through Computing;B3;13;
CADE;International Conference on Automated Deduction;A2;41;
CAGD;International Symposium of Computer Aided Geometric Design;A2;52;
CAIA;Conference on Artificial Intelligence for Applications;B5;1;
CAINE;ISCA International Conference on Computer Applications in Industry and Engineering;B4;9;
CAIP;International Conference on Computer Analysis of Images and Patterns;B2;20;
CAiSE;International Conference on Advanced Information Systems Engineering;A2;51;
CAMAD;IEEE Workshop on Computer'Aided Modeling Analysis and Design of Communication Links and Networks;B4;7;
CAMP;International Workshop on Computer Architectures for Machine Perception;B3;14;
CANPC;Workshop on Communication Architecture and Applications for Network'Based Parallel Computing;B4;6;
CAOS;Workshop on Computer Architecture and Operating System co'design;B5;1;
CASA;Computer Animation and Social Agents;B3;13;
CASCON;Annual International Conference on Computer Science and Software Engineering;B1;30;
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;A2;44;
CASE_A;IEEE Conference on Automation Science and Engineering;B1;28;
CASON;International Conference on Computational Aspects of Social Networks;B4;5;
CATA;International Conference on Computers and their Applications;B3;11;
CATCH;Cybersecurity Applications & Technology Conference For Homeland Security;B4;9;
CATE;IASTED International Conference on Computers and Advanced Technology in Education;B4;9;
CAV;International Conference on Computer Aided Verification;A1;82;
CBA;Congresso Brasileiro de Automática;B4;5;
CBEE;Congresso Brasileiro de Educação Especial;B5;1;
CBIC;Congresso Brasileiro de Inteligência Computacional;B5;1;
CBIS;Congresso Brasileiro de Informática em Saúde;B4;6;
CBMI;International Workshop on Content'Based Multimedia Indexing;B3;12;
CBMS;IEEE Symposium on Computer'Based Medical Systems;B1;26;
CBSE;International Symposium Component'Based Software Engineering;B1;25;
CC;International Conference on Compiler Construction;A2;38;
CCA;IEEE International Conference on Control Applications;B3;6;
CCA_A;International Conference on Computability and Complexity in Analysis;B3;13;
CCC;IEEE Conference on Computational Complexity;B1;36;
CCCG;Canadian Conference on Computational Geometry;B2;19;
CCCT;International Conference on Computer, Communication and Control Technologies;B4;5;
CCC_A;Colombian Computing Congress;B5;2;
CCGrid;IEEE/ACM International Symposium on Cluster Computing and the Grid;A1;60;
CCNC;IEEE Consumer Communications and Networking Conference;B1;31;
CCO;International Conference on Cooperative Control and Optimization;B4;6;
CCRTS;International Command and Control Research and Technology Symposium;B4;6;
CCS;ACM Conference on Computer and Communications Security;A1;100;
CCW;IEEE Annual Computer Communications Workshop;B3;5;
CC_A;Creativity and Cognition Conference;B5;2;
CDC;IEEE Conference on Decision and Control;B1;30;
CDVE;Cooperative Design, Visualization and Engineering;B4;10;
CEA;International Conference on Computer Engineering and Applications;B4;8;
CEAS;International Conference on Email and Anti'Spam;B1;36;
CEC;IEEE Conference on Commerce and Enterprise Computing;B1;27;
CEC_A;IEEE Congress on Evolutionary Computation;A2;34;
CELDA;Cognition and Exploratory Learning in Digital Age;B4;10;
CENTERIS;International Conference on Enterprise Information Systems;B3;3;
CERMA;Robotics and Automotive Mechanics Conference Electronics;B4;9;
CETS;Conference on E'business Technology and Strategy;B5;2;
CF;ACM International Conference on Computing Frontiers;B1;27;
CGI;Computer Graphics International Conference;B1;31;
CGIM;International Conference on Computer Graphics and Imaging;B4;9;
CGIV;International Conference on Computer Graphics, Imaging and Visualization;B3;15;
CGO;IEEE/ACM International Symposium on Code Generation and Optimization;A2;41;
CHARME;Conference on Correct Hardware Design and Verification Methods;B1;25;
CHES;Workshop on Cryptographic Hardware and Embedded Systems;A1;65;
CHI;Conference on Human Factors in Computing Systems;A1;147;
CIA;International Workshop on Cooperative Information Agents;B1;24;
CIAA;International Conference on Implementation and Application of Automata;B3;15;
CIAED;Congresso Internacional ABED de Educação a Distância;B4;5;
CIAIE;Congresso Ibero'Americano de Informática Educativa;B4;4;
CIARP;Iberoamerican Congress on Pattern Recognition;B2;16;
CIBCB;IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology;B3;15;
CIBSE;Ibero'American Conference on Software Engineering;B4;6;
CIC;International Conference on Communications in Computing;B3;11;
CICC;IEEE Custom Integrated Circuits Conference;B2;11;
CICLING;Conference on Intelligent Text Processing and Computational Linguistics;B1;29;
CIDM;IEEE Symposium on Computational Intelligence and Data Mining;B3;12;
CIDR;Biennial Conference on Innovative Data Systems Research;A2;41;
CiE;Computability in Europe Conference;B2;16;
CIG;IEEE Symposium on Computacional Intelligence and Games;B1;24;
CIKM;International Conference on Information and Knowledge Management;A1;85;
CIM;Conference on Interdisciplinary Musicology;B4;9;
CIMCA;International Conference on Computational Intelligence for Modelling Control and Automation;B2;16;
CIMSA;IEEE International Conference on Computational Intelligence for Measurement Systems and Applications;B4;4;
CIMSIM;International Conference on Computational Intelligence, Modelling and Simulation;B4;5;
CINTED;Ciclo de Palestras Novas Tecnologias na Educação;B5;1;
CIRA;IEEE International Symposium on Computational Intelligence in Robotics and Automation;B1;22;
CIRAS;International Conference on Computational Intelligence Robotics and Autonomous Systems;B4;4;
CIS;International Conference on Computational Intelligence and Security;B3;12;
CISched;IEEE Symposium on Computational Intelligence in Scheduling;B4;9;
CISIS;International Conference on Complex Intelligent and Software Intensive Systems;B3;15;
CISST;International Conference Image Science: Systems and Technology;B4;8;
CISTI;Iberian Conference on Information Systems and Technologies;B4;5;
CISW;International Conference on Computational Intelligence and Security Workshops;B4;9;
CISWSN;Collective Intelligence in Semantic Web and Social Networks;B4;7;
CIT;International Conference on Computer and Information Technology;B1;22;
CITA;International Conference on IT in Asia;B5;2;
CKC;Social and Collaborative Construction of Structured Knowledge;B4;9;
CL;Corpus Linguistics Conference;B2;17;
CLA;International Conference On Concept Lattices and Their Applications;B4;10;
CLAIO;Congreso Latino'Iberoamericano de Investigación Operativa;B4;4;
CLEF;Cross Language Evaluation Forum Workshop;B2;16;
CLEI;Conferencia Latinoamericana de Informática;B4;8;
CLIHC;Latin American Conference on Human'Computer Interaction;B5;3;
CLIMA;International Workshop on Computational Logic in Multi'Agent Systems;B4;8;
CLIP;Workshop on Cross'Language Information Processing;B5;1;
CLOSER;International Conference on Cloud Computing and Services Science;B4;4;
CLOUD;IEEE International Conference on Cloud Computing;B2;19;
CLOUDCOM;IEEE International Conference on Cloud Computing Technology and Science;B2;19;
CLUSTER;Cluster Computing Conference;A2;39;
CMC;International Conference on Communications and Mobile Computing;B4;9;
CMMR;International Symposium on Computer Music Modeling and Retrieval;B5;2;
CMV;International Conference on Coordinated and Multiple Views in Exploratory Visualization;B2;17;
CNMAC;Congresso Nacional de Matemática Aplicada e Computacional;B4;10;
CNSM;International Conference on Network and Services Management;B4;6;
CNSR;Annual Conference on Communication Networks and Services Research;B2;17;
CoALa;Workshop on Contract Architectures and Languages;B5;3;
COCOA;Conference on Combinatorial Optimization and Applications;B4;10;
COCOON;International Computing and Combinatorics Conference;B1;28;
CODAS;International Symposium on Cooperative Database Systems for Advanced Applications;B3;12;
CODASPY;Data and Application Security and Privacy;B4;6;
CODES+ISSS;International Conference on Hardware/Software Codesign and System Synthesis;A2;39;
CogSci;Annual Conference of the Cognitive Science Society;B2;19;
COIN;Workshop on Coordination Organization Institutions and Norms in Agent Systems;B4;6;
COLING;International Conference on Computational Linguistics;A1;62;
CollaborateCom;International Conference on Collaborative Computing: Networking, Applications and Worksharing;B3;13;
CollECTeR;Collaborative Electronic Commerce Technology and Research;B4;10;
COLT;Annual Conference on Computational Learning Theory;A2;46;
COMMONSENSE;Symposium on Logical Formalizations of Commonsense Reasoning;B4;10;
CompLife;International Symposium on Computational Life Science;B4;10;
COMPSAC;Annual International Computer Software and Applications Conference;A2;40;
CompSysTech;International Conference on Computer Systems and Technologies;B3;14;
COMS;Conference on Optimization Methods and Software;A2;39;
COMSWARE;ICST International Conference on Communication System software and Middleware;B2;18;
CONCUR;International Conference on Concurrency Theory;A2;50;
CONEXT;ACM International Conference on Emerging Networking Experiments and Technologies;B1;34;
Conf'IRM;International Conference on Information Resources Management;B4;7;
CONFENIS;IFIP International Conference on Research and Practical Issues of Enterprise Information Systems;B4;7;
CONGRESS;World Congress on Privacy, Security, Trust and the Management of e'Business;B5;1;
CoNLL;Conference on Natural Language Learning;B1;22;
CONQUEST;Conquest International Conference on Quality Engineering in Software Technology;B5;2;
CONTECSI;International Conference on Information Systems and Technology Management;B4;4;
COOLCHIPS;IEEE Cool Chips;B5;3;
COOP;International Conference on the Design of Cooperative Systems;B3;11;
CoopIS;International Conference on Cooperative Information Systems;B1;22;
COSIT;Conference on Spatial Information Theory;B1;29;
CP;International Conference on Principles and Practice of Constraint Programming;A2;48;
CPAIOR;International Conference o Integration of Artificial Intelligence and Operations Research;B2;21;
CPM;Annual Symposium on Combinatorial Pattern Matching;B1;33;
CRIWG;International Workshop on Groupware;B1;25;
CROWNCOM;International Conference on Cognitive Radio Oriented Wireless Networks and Communications;B1;24;
CRYPTO;Annual International Cryptology Conference;A1;92;
CSB;IEEE Computational Systems Bioinformatics Conference;B1;34;
CSC;International Conference on Scientific Computing;B4;5;
CSCL;International Conference on Computer'Supported Collaborative Learning;B1;35;
CSCLP;ERCIM Annual Workshop on Constraint Solving and Contraint Logic Programming;B4;5;
CSCW;ACM Conference on Computer Supported Cooperative Work;A1;78;
CSCWD;International Conference on Computer Supported Cooperative Work in Design;B2;18;
CSD;Workshop on Critical Systems Development;B4;5;
CSE;Conference on Computational Science & Engineering;B4;8;
CSEDU;Internation Conference on Computer Supported Education;B4;6;
CSEE;International Conference on Computer Science, Environment, Ecoinformatics, and Education;B5;2;
CSEE&T;Conference on Software Engineering Education and Training;B2;19;
CSFW;IEEE Computer Security Foundations Workshop;A1;57;
CSL;Annual Conference on Computer Science Logic;B1;33;
CSMR;European Conference on Software Maintenance and Reengineering;A2;40;
CSNDSP;International Symposium on Communication Systems, Networks and Digital Signal Processing;B3;11;
CSO;International Joint Conference on Computational Sciences and Optimization;B5;3;
CSREA_EEE;International Conference on E'Learning, E'Business, Enterprise Information Systems, & E'Government;B4;5;
CSSW;Conference on Social Semantic Web;B4;5;
CTAC;Computational Techniques and Applications Conference;B4;2;
CTC;Workshop Cybercrime and Trustworthy Computing;B5;2;
CTW;Cologne'Twente Workshop on graphs and combinatorial optimization;B4;8;
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;A1;167;
CyberGames;International Conference on Games Research and Development;B5;2;
DAARC;Discourse Anaphora and Anaphor Resolution Colloquium;B4;10;
DAC;Design Automation Conference;A1;102;
DAFX;International Conference on Digital Audio Effects;B2;21;
DAIS;IFIP International Conference on Distributed Applications and Interoperable Systems;B2;18;
DALT;International Workshop on Declarative Agent Languages and Technologies;B4;10;
DARS;International Symposium on Distributed Autonomous Robotic Systems;B1;25;
DAS;International Workshop on Document Analysis Systems;B1;22;
DASC;IEEE International Symposium on Dependable, Autonomic and Secure Computing;B3;13;
DASD;Design Analysis and Simulation of Distributed Systems Symposium;B4;4;
DASFAA;International Conference on Database Systems for Advanced Applications;B1;29;
DATE;Design, Automation and Test in Europe Conference and Exhibition;A1;79;
DaWaK;International Conference on Data Warehousing and Knowledge Discovery;B1;29;
DB&IS;International Baltic Conference on Databases and Information Systems;B5;1;
DBISP2P;International Workshop on Databases Information Systems and Peer'to'Peer Computing;B4;6;
DBKDA;International Conference on Advances in Databases, Knowledge, and Data Applications;B4;5;
DBPL;International Symposium on Database Programming;B2;17;
DBTA;International Workshop on Database Technology and Applications;B4;5;
DCAI;International Conference on Distributed Computing and Artificial Intelligence;B4;6;
DCC;Data Compression Conference;A2;45;
DCCS;Dependable Computing and Communications Symposium;B5;1;
DCW;Workshop on Distributed Communities on the Web;B3;11;
DDECS;IEEE Workshop on Design and Diagnostics of Electronic Circuits and Systems;B3;11;
DEBS;International Conference on Distributed Event'Based Systems;B2;21;
DeLFI;"Fachtagung ""e'Learning"" der Gesellschaft für Informatik";B4;10;
DENVECT;IEEE International Workshop on Digital Entertainment, Networked Virtual Environments, and Creative Technology;B5;1;
DEON;International Workshop on Deontic Logic in Computer Science;B3;14;
DepCoS'RELCOMEX;International Conference on Dependability of Computer Systems;B3;12;
DEPEND;International Conference on Dependability;B4;7;
DesignCon;Design Conference;B3;13;
DEXA;International Conference on Database and Expert Systems Applications;B1;34;
DFT;IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems;B1;30;
DGCI;Digital Geometry for Computer Imagery;B2;20;
DGO;International Conference on Digital Government Research;B1;23;
DICTAP;International Conference on Digital Information and Communication Technology and Its Applications;B5;3;
DIGITEL;IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning;B3;11;
DIGRA;Digital Games Research Conference;B2;17;
DIMVA;GI International Conference on Detection of Intrusions and Malware and Vulnerability Asessment;B1;24;
DIPES;IFIP Working Conference on Distributed and Parallel Embedded Systems;B3;12;
DIS;Designing Interative Systems Conference;A2;49;
DISC;International Symposium on Distributed Computing;A2;40;
DIWeb;International Workshop on Data Integration over the Web;B4;8;
DL;International Workshop on Description Logics;B1;36;
DLT;International Conference on Developments in Language Theory;B2;19;
DMDW;Design and Management of Data Warehouses;B2;16;
DMO;Data Mining and Optimization;B4;5;
DMTCS;International Conference on Discrete Mathematics and Theoretical Computer Science;B2;21;
DNA;International Meeting on DNA Computing;B4;10;
DNIS;Databases in Networked Information Systems;B3;11;
DOA;International Symposium on Distributed Objects and Applications;B2;19;
DocEng;ACM Symposium on Document Engineering;B1;32;
DOLAP;International Workshop on Data Warehousing and OLAP;B1;31;
DRCN;International Workshop on Design of Reliable Communications Networks;B2;20;
DRM;ACM Workshop on Digital Rights Management;B1;22;
DS;International Conference on Discovery Science;B1;25;
DS'RT;IEEE International Symposium on Distributed Simulation and Real Time Applications;B2;20;
DSD;EUROMICRO Conference on Digital System Design;B1;27;
DSDE;International Conference on Data Storage and Data Engineering;B4;4;
DSL;Domain'Specific Languages for Software Engineering Conference;B4;5;
DSM;Workshop on Domain'Specific Modeling;B3;12;
DSN;International Conference on Dependable Systems and Networks;A1;65;
DSOM;IFIP/IEEE International Workshop on Distributed Systems: Operations and Management;B1;24;
DSP;International Conference on Digital Signal Processing;A2;37;
DSS;IFIP International Conference on Decision Support Systems;B4;4;
DSSNS;IEEE Workshop on Dependability and Security in Sensor Networks and Systems;B4;7;
DUX;ACM Designing for User Experience Conference;B3;15;
DYSPAN;IEEE Symposioum on New Frontiers in Dynamic Spectrum Access Networks;B2;8;
E'ACTIVITIES;International Conference on E'Activities;B4;4;
e'Learning;IADIS International Conference on e'Learning;B4;7;
E'SCIENCE;Brazilian e'Science Workshop;B5;2;
E2EMON;IEEE/IFIP Workshop on End'to'End Monitoring Techniques and Services;B3;12;
E4MAS;International Workshop on Environments for Multiagent Systems;B4;2;
EA;Workshop on Early Aspects;B3;11;
EACL;Conference of the European Chapter of the Association for Computational Linguistics;A2;37;
EAMT;Annual Conference of the European Association for Machine Translation;B3;8;
EANN;International Conference on Engineering Applications of Neural Networks;B4;4;
EASE;International Conference on Evaluation and Assessment in Software Engineering;B4;9;
EATIS;Euro American Conference on Telematics and Information Systems;B4;9;
EC;ACM Conference on Electronic Commerce;A1;58;
EC'TEL;European Conference on Technology Enhanced Learning;B2;19;
ECAI;European Conference on Artificial Intelligence;A2;49;
ECAL;European Conference on Artificial Life;B1;27;
ECBS;Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems;B1;29;
ECC;European Control Conference;B1;27;
ECCB;European Conference on Computational Biology;B1;34;
ECCO;Conference of European Chapter on Combinatorial Optimization;B5;3;
ECCTD;European Conference on Circuit Theory and Design;B3;12;
ECCV;European Conference on Computer Vision;A1;95;
ECIR;European Conference on Information Retrieval;A2;39;
ECIS;European Conference on Information Systems;B1;33;
ECKM;European Conference on Knowledge Management;B4;7;
ECMDA;European Conference on Model Driven Architecture Foundations and Applications;B1;25;
ECML;European Conference on Machine Learning;A2;47;
ECOOP;European Conference on Object'oriented Programming;A1;61;
ECOWS;IEEE European Conference on Web Services;B1;27;
ECRTS;Euromicro Conference on Real'Time Systems;A2;47;
ECSA;European Conference on Software Architecture;B3;15;
ECSCW;European Conference on Computer Supported Cooperative Work;B1;27;
ECSQARU;European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty;B1;25;
ECWeb;International Conference on Electronic Commerce and Web Technology;B1;27;
EC_A;IADIS International Conference e'Commerce;B4;6;
ED'MEDIA;World Conference on Educational Multimedia Hypermedia and Telecommunications;B3;14;
EDBT;International Conference on Extending Database Technology;A2;52;
EDCC;European Dependable Computing Conference;B2;17;
EDM;International Conference on Educational Data Mining;B3;13;
EDOC;IEEE International Enterprise Distributed Object Computing Conference;A2;42;
EDOCW;IEEE International Enterprise Distributed Object Computing Conference Workshops;B3;13;
EDUCON;IEEE Engineering Education Conference;B4;7;
Edutainment;International Conference on E'learning and Games;B3;14;
EEE;IEEE International Conference on e'Technology e'Commerce and e' Service;B1;24;
